Surname,GivenName,BithDate,Gender,HireDate,InitialLevel,isFullTime
Lanz,Arden,2000-05-07,F,2006-11-26,4,1
Redner,Christeen,1991-11-06,F,2010-10-30,9,0
Pekar,Tami,1997-05-26,F,1991-07-01,7,0
Klemp,Augustine,1991-10-09,F,2012-12-07,4,1
Grisby,Raleigh,1997-07-27,M,1991-05-22,7,1
Catt,Lawanda,1990-08-03,M,1996-02-03,4,1
Mayoral,Samatha,1992-02-29,F,2010-06-06,5,0
Roberie,Randy,1992-03-24,M,2004-04-26,1,1
Grisby,Lyndia,1996-04-24,F,1990-04-26,4,1
Wiers,Thommy,1990-04-08,M,2002-04-08,5,0
Latson,Christeen,1999-04-23,F,2009-06-09,2,1
Mcnaught,Clora,1990-08-02,F,2017-10-24,9,1
Motsinger,Lloyd,1991-10-31,M,2011-09-10,6,0
Redner,Maribel,1997-12-27,M,2007-01-14,8,1
Haslett,Rubi,1995-08-06,F,1995-04-05,7,0
Drews,Michele,1997-02-23,M,2004-03-20,3,0
Haslett,Jeanice,1995-02-28,F,2018-08-26,1,1
Geddes,Lloyd,1999-01-26,M,2002-01-25,7,0
Pingree,Thomas,2001-10-08,F,2002-05-19,4,0
Coby,Dion,1994-05-16,M,2018-03-23,8,1
Catt,Christeen,1992-10-25,F,2017-09-27,8,0
Drews,Elroy,1996-10-20,F,2008-04-21,4,0
Wrona,Gaylene,1991-06-17,M,2009-07-29,8,1
Mischke,Maribel,2000-08-21,M,2008-08-31,4,0
Roberie,Laine,1990-02-14,M,2006-03-21,5,0
Buresh,Augustine,2000-12-09,M,2011-09-10,7,0
Haslett,Buffy,1998-08-22,M,1990-03-20,3,1
Catt,Camellia,2002-01-10,F,2002-09-20,4,1
Schildgen,Camellia,1994-09-01,M,2021-01-03,4,1
Culton,Sharie,1995-08-22,F,2020-12-15,6,1
Lanz,Gaylene,1991-01-19,M,2013-05-26,6,0
Stoval,Lloyd,1992-04-29,F,1991-03-24,4,0
Michaud,Alejandro,2000-02-09,M,2003-07-28,3,1
